,Value,Name
3,"She previously served for seven years on the Advisory Board to the National Science Foundation’s Geosciences Directorate, and for three years on the Board of Trustees to the University Corporation for Atmospheric Research.",Vicki A. Arroyo
3,She helped develop California’s cap-and-trade system as a member of California’s Economics and Allocation Advisory Committee.,Vicki A. Arroyo
3,"She has also held positions on the external advisory committee to the National Center for Atmospheric Research, and on several other federal panels, including those reviewing economic modeling of climate legislation (DOE’s Energy Information Administration) and on climate change adaptation along the Gulf Coast (Climate Change Science Program).",Vicki A. Arroyo
3,She is Associate Editor of the journal Climate Policy and a member of the editorial board for The Georgetown Environmental Law Review (formerly The Georgetown International Law Review).,Vicki A. Arroyo
3,"In 2018, Professor Arroyo was elected to the American College of Environmental Lawyers (ACOEL).",Vicki A. Arroyo
3,"She holds a B.S. in biology, high honors, from Emory (double major in philosophy); a Masters of Public Administration from Harvard (receiving the Don K. Price award for academic achievement and commitment to public service, the top honors in her program), and a J.D., magna cum laude, from Georgetown Law, where she was Editor-in-Chief of The Georgetown International Environmental Law Review.",Vicki A. Arroyo
4,Professor Babcock served as general counsel to the National Audubon Society from 1987-91 and as deputy general counsel and Director of Audubon’s Public Lands and Water Program from 1981-87.,Hope Babcock
4,"Previously, she was a partner with Blum, Nash & Railsback, where she focused on energy and environmental issues, and an associate at LeBoeuf, Lamb, Leiby & MacRae where she represented utilities in the nuclear licensing process.",Hope Babcock
4,"From 1977-79, she served as a Deputy Assistant Secretary of Energy and Minerals in the U.S. Department of the Interior.",Hope Babcock
4,"Professor Babcock has taught environmental and natural resources law as a visiting professor at Pace University Law School and as an adjunct at the University of Pennsylvania, Yale, Catholic University, and Antioch law schools.",Hope Babcock
4,"Professor Babcock was a member of the Standing Committee on Environmental Law of the American Bar Association, and served on the Clinton-Gore Transition Team.",Hope Babcock
5,Randy E. Barnett is the Patrick Hotung Professor of Constitutional Law at the Georgetown University Law Center and is Director of the Georgetown Center for the Constitution.,Randy E. Barnett
5,"After graduating from Northwestern University and Harvard Law School, he tried many felony cases as a prosecutor in the Cook County States’ Attorney’s Office in Chicago.",Randy E. Barnett
5,"A recipient of a Guggenheim Fellowship in Constitutional Studies and the Bradley Prize, Professor Barnett has been a visiting professor at Penn, Northwestern and Harvard Law School.",Randy E. Barnett
5,"Professor Barnett’s publications includes twelve books, more than one hundred articles and reviews, as well as numerous op-eds.",Randy E. Barnett
5,His most recent book is The Original Meaning of the Fourteenth Amendment: Its Letter and Spirit (2021) (with Evan Bernick).,Randy E. Barnett
5,His other books on the Constitution include: An Introduction to Constitutional Law: 100 Supreme Court Cases Everyone Should Know (2019) (with Josh Blackman);,Randy E. Barnett
5,Restoring the Lost Constitution: The Presumption of Liberty (2nd ed. 2013);,Randy E. Barnett
5,Our Republican Constitution: Securing the Liberty and Sovereignty of We the People (2016); and Constitutional Law: Cases in Context (4th ed. forthcoming 2022) (with Josh Blackman).,Randy E. Barnett
5,His books on contracts are The Oxford Introductions to U.S. Law: Contracts (2010) and Contracts: Cases and Doctrine (7th ed. 2021) (with Nate Oman).,Randy E. Barnett
5,And he is the author of The Structure of Liberty: Justice and the Rule of Law (2nd ed. 2014).,Randy E. Barnett
5,"In 2004, he argued the medical marijuana case of Gonzalez v. Raich before the U.S. Supreme Court.",Randy E. Barnett
5,"In 2012, he was one of the lawyers representing the National Federation of Independent Business in its constitutional challenge to the Affordable Care Act in NFIB v. Sebelius.",Randy E. Barnett
5,"He’s appeared in numerous documentaries, including PBS’s Constitution USA with Peter Sagal and A More or Less Perfect Union with Judge Douglas Ginsburg; and he portrayed a prosecutor in the 2010 science-fiction feature film, InAlienable: The Movie.",Randy E. Barnett
5,He blogs on the Volokh Conspiracy.,Randy E. Barnett
6, Secure Systems and Cryptology    ,Matt Blaze
6,"My research focuses on the architecture and design of secure systems based on cryptographic techniques, analysis of secure systems against practical attack models, and on finding new cryptographic primitives and techniques.",Matt Blaze
6,"This work has led directly to several new cryptographic concepts, including: “Remotely-Keyed Encryption,” which allows the use of inexpensive, low-bandwidth secure hardware to protect high-bandwidth communication and stored data, “Atomic Proxy Cryptography,” which allows re-encryption by untrusted third parties, and “Master-Key Encryption,” which provides a systematic way to design (and study) ciphers with built-in “back doors.”    ",Matt Blaze
6,I am especially interested in the use of encryption to protect insecure systems such as the Internet.,Matt Blaze
6,"I was a designer of swipe, a predecessor of the now standard IPSEC protocol for protecting Internet traffic.",Matt Blaze
6,"Another project, CFS, investigated and demonstrated the feasibility of including encryption as file system service.    ",Matt Blaze
6,"Recently, I’ve applied cryptologic techniques to other areas, including the analysis of physical security systems; this work yielded a powerful and practical attack against virtually all commonly used master-keyed mechanical locks.    ",Matt Blaze
6,"Trust Management    I coined the term, and am one of the inventors of, Trust Management, which provides the abstract layer in which a system decides whether to allow some potentially dangerous action.",Matt Blaze
6,"This work has led to two trust management languages, KeyNote and PolicyMaker, that provide tools for specifying policy, delegating authority, and controlling access.",Matt Blaze
6,"In addition to providing a useful framework for studying and proving security properties of distributed systems, our tools have been used to build powerful policy control mechanisms into several important applications, including the OpenBSD IPSEC implementation.    ",Matt Blaze
6,"Technology and Public Policy    Cryptology and computer security have important relationships to vital areas of public policy, and my work has touched on these in several ways.",Matt Blaze
6,"In 1994, I discovered a serious flaw in the US Government’s “Clipper” encryption system, which had been proposed as a mechanism for the public to encrypt their data in a way that would still allow access by law enforcement.",Matt Blaze
6,"I have edited several influential reports on encryption policy, including the 1998 study of “key escrow” systems that demonstrated that such systems are inherently less secure and more expensive than systems without such a feature.",Matt Blaze
6,This work contributed to the recent shift in U.S. encryption policy.,Matt Blaze
6,"More recently, I have been active in the analysis of the FBI’s “Carnivore”",Matt Blaze
6,Internet wiretap system.,Matt Blaze
6,"I have testified before various comittees of the US Congress and European Parliament several times, providing technical perspective on the problems surrounding law enforcement and intelligence access to communications traffic and computer data.  ",Matt Blaze
7,Professor Susan Low Bloch joined the Georgetown Law Center faculty in 1982.,Susan Low Bloch
7,"She teaches Constitutional Law I and II, Federal Courts, Communications Law, and a seminar on the Supreme Court.",Susan Low Bloch
7,"Professor Bloch is the author of numerous articles in the areas of constitutional and administrative law and is the co-author of Inside the Supreme Court: The Institution and Its Procedures, published by West Publishing Company in 2008, and Supreme Court Politics:",Susan Low Bloch
7,"The Institution and Its Procedures, published by West Publishing Company in 1994.",Susan Low Bloch
7,"She has given lectures and interviews on a variety of topics, including impeachment, presidential immunity, historical overviews of the Supreme Court, the role of the Constitution in this country and its relevance for emerging democracies.",Susan Low Bloch
7,"In November 1998, she testified before the House Judiciary Committee as one of 19 constitutional law experts on what is an impeachable offense.",Susan Low Bloch
7,She also testified before the Senate on whether the President can be indicted and tried while in office.,Susan Low Bloch
7,"She has participated in numerous international symposia organized by the Gruter Institute, giving papers on a variety of comparative law issues.",Susan Low Bloch
7,"Widely quoted in the media, Professor Bloch has appeared on numerous television and radio programs on CNN, ABC, CBS, NBC, MSNBC, Fox News Channel, NPR, CBC, and USAID to discuss various topics including the Clinton-Lewinsky scandal, impeachment, and the independent counsel statute as well as pertinent constitutional issues of the moment.",Susan Low Bloch
7,"Previously she was one of the expert panelists on “Inside DC with Fred Graham,” a weekly Court TV program that examined the latest developments in the law.  ",Susan Low Bloch
7,"In addition to teaching, Professor Bloch is a member of the American Law Institute, participant on the Twentieth Century Fund Project on the Judiciary, and a Fellow of the American Bar Foundation.",Susan Low Bloch
7,"Locally, she has been a commissioner on the Judicial Nominating Committee for the District of Columbia Courts and has worked with the United States Court of Appeals for the District of Columbia Circuit, serving on the Committee to Write the Oral History of the Circuit and on numerous committees for the D.C. Circuit Judicial Conference.",Susan Low Bloch
7,"In addition, she has been an editorial advisor to “Justice,” the Journal of the Department of Justice.",Susan Low Bloch
7,"Professor Bloch is also active in the D.C. Bar, serving on the Ethics Committee, the Rules of Professional Conduct Review Committee, the Judicial Evaluation Committee, the Steering Committee of D.C. Bar Section for Courts, Lawyers, and the Administration of Justice, the Committee to Celebrate the Bicentennial of the Constitution, and the Administrative Law Section nominating committee.",Susan Low Bloch
7,She is also on the Board of the Institute for Public Representation and an advisor to students in the Public Interest Law Scholars Program at Georgetown.,Susan Low Bloch
7,"Before joining the Law Center, Professor Bloch served as a law clerk for Justice Thurgood Marshall and for Judge Spottswood Robinson.",Susan Low Bloch
7,"She also practiced law at Wilmer, Cutler, and Pickering for about four years.",Susan Low Bloch
7,"Susan Bloch did her legal training at the University of Michigan Law School, where she graduated summa cum laude.",Susan Low Bloch
7,"Before that, she received graduate degrees in mathematics and computer science from the University of Michigan and a B.A. with distinction from Smith College.",Susan Low Bloch
7,"She is married to Richard Bloch and is the proud mother of two children, Rebecca and Michael, both of whom are public defenders.",Susan Low Bloch
8,"M. Gregg Bloche, M.D., J.D., is Professor of Law at Georgetown University and author of The Hippocratic Myth: Why Doctors Are Under Pressure to Ration Care, Practice Politics, and Compromise Their Promise to Heal.  ",M. Gregg Bloche
8,He is a nationally and internationally recognized expert on health law and policy.  ,M. Gregg Bloche
8,"Bloche’s writing has appeared in a wide range of venues, including the New England Journal of Medicine, Health Affairs and the Journal of the American Medical Association; leading law reviews; and the New York Times, Washington Post, & other media outlets.  ",M. Gregg Bloche
8,He has also been a frequent commentator in national broadcast media.  ,M. Gregg Bloche
8,"He was a health care advisor to President Obama’s 2008 campaign, as well as the presidential transition, and he spoke frequently for the campaign as a “surrogate.”  ",M. Gregg Bloche
8,"Bloche has held teaching and research appointments at the University of Chicago, UCLA, and Columbia law schools, as well as the Brookings Institution, and the Harvard School of Public Health.  ",M. Gregg Bloche
8,"He is a graduate of the law and medical schools at Yale, and he completed a residency in psychiatry at Columbia-Presbyterian Medical Center in New York.  ",M. Gregg Bloche
8,His awards and honors include a Guggenheim Fellowship and a Robert Wood Johnson Investigator Award in Health Policy Research.  ,M. Gregg Bloche
8,Bloche serves on several editorial boards and has advised governments and non-profits in the U.S. and abroad on a wide range of health policy issues.  ,M. Gregg Bloche
8,"He lives in Washington, D.C.    ",M. Gregg Bloche
9,"Professor Bonneau was an attorney at Willkie Farr & Gallagher LLP, in its Manhattan office, and subsequently a partner at Hancock & Estabrook, LLP.  ",Sonya G. Bonneau
9,"Her practice areas included appellate practice and procedure, commercial litigation, employment discrimination, and antitrust law. ",Sonya G. Bonneau
9,Professor Bonneau was a law clerk for Hon. Norman A. Mordue at the United States District Court of the Northern District of New York.  ,Sonya G. Bonneau
9,"Before coming to Georgetown, Professor Bonneau was a legal writing professor at the Syracuse University College of Law.",Sonya G. Bonneau
10,"Rosa Brooks teaches courses on international law, national security, constitutional law and criminal justice.",Rosa Brooks
10,"She joined the Law Center faculty in 2007, after serving as an associate professor at the University of Virginia School of Law. From 2016-2018, Brooks served at the Law Center’s Associate Dean for Graduate Programs.",Rosa Brooks
10,Brooks is also an Adjunct Senior Scholar at West Point’s Modern War Institute and a Senior Fellow at New America.,Rosa Brooks
10,Brooks has combined teaching and scholarship with stints in government service and a successful career in journalism.,Rosa Brooks
10,"From 2009-2011, Brooks served as Counselor to Under Secretary of Defense for Policy Michele Flournoy and founded the Defense Department’s Office for Rule of Law and International Humanitarian Policy.",Rosa Brooks
10,"In July 2011, she received the Secretary of Defense Medal for Outstanding Public Service.",Rosa Brooks
10,"From 1999-2000, she served as a senior advisor at the US Department of State.",Rosa Brooks
10,"Brooks previously wrote weekly opinion columns for Foreign Policy and the Los Angeles Times, and her articles and essays have appeared in the New York Times, the Wall Street Journal, the Washington Post and dozens of other national and international publications.",Rosa Brooks
10,"Her most recent book, How Everything Became War and the Military Became Everything, was a New York Times Notable Book of 2016; it was shortlisted for the Lionel Gelber Prize and named one of the five best books of the year by the Council on Foreign Relations.",Rosa Brooks
10,Brooks is also the author of Can Might Make Rights?,Rosa Brooks
10,"The Rule of Law After Military Interventions (with Jane Stromseth and David Wippman), published in 2006, and A Garden of Paper Flowers (Picador, 1994).",Rosa Brooks
10,"In 2006-2007, Brooks was Special Counsel to the President at the Open Society Institute in New York.",Rosa Brooks
10,"Brooks has also served as a consultant for Human Rights Watch, a fellow at the Carr Center at Harvard’s Kennedy School of Government, a board member of Amnesty International USA, a Term Member of the Council on Foreign Relations, a lecturer at Yale Law School, a member of the Executive Council of the American Society of International Law and a member of the World Economic Forum’s Global Agenda Council on Fragile States.",Rosa Brooks
10,"She currently serves on the advisory board of the Open Society Foundation’s US Programs, the advisory board of National Security Action and the board of the Harper’s Magazine Foundation.",Rosa Brooks
10,"Brooks received her A.B. from Harvard in history and literature, followed by a master’s degree from Oxford in social anthropology and a law degree from Yale.",Rosa Brooks
11,Chris Brummer is a Georgetown law professor and author.,Chris Brummer
11,"He also lectures widely on financial inclusion and equity, financial regulation and global governance.",Chris Brummer
11,"His views regularly inform a wide array of conversations, from diversity in regulatory agencies and corporate boards to cutting edge issues in financial technology and international regulatory and monetary diplomacy.",Chris Brummer
11,"His work has been featured in The New York Times, CNN, Marketwatch, Fast Company, The Wall Street Journal, Bloomberg, Yahoo Money, Roll Call, Cointelegraph, and Coin Desk, among others.",Chris Brummer
11,"Chris started his career at Cravath Swaine and Moore LLP, and now serves as the Faculty Director of the Institute of International Economic Law.",Chris Brummer
11,"For more than a decade, he has lent his expertise to industry leaders, nonprofits and policymakers, and offered his insights as to how firms and governments can best understand and react to new developments and challenges in the financial system.",Chris Brummer
11,"Aside from working as a professor and spearheading multiple initiatives related to financial regulation, he also served as both a member of the Commodity Futures Trading Commission’s Subcommittee on Virtual Currencies and the Consultative Working Group for the European Securities and Markets Authority’s Financial Innovation Standing Committee.",Chris Brummer
11,Chris also concluded a three-year term as a member of the National Adjudicatory Council of FINRA.,Chris Brummer
11,"Chris served most recently as a member of the Biden-Harris Transition team, assisting in leading work streams relating to financial technology, racial equity and systemic risk for the Treasury ART.",Chris Brummer
11,"Chris holds multiple degrees, including a J.D. with honors from Columbia Law School and a Ph.D. from the University of Chicago.",Chris Brummer
11,"He is also the author or editor of several books, including Soft Law and the Global Financial System, Minilateralism, Cryptoassets: Legal, Regulatory and Monetary Perspectives, and Fintech Law in a Nutshell.",Chris Brummer
11,"Chris is the host of CQ Roll Call’s Fintech Beat podcast, and founder of Washington DC’s Fintech Week, an annual free event for the public.",Chris Brummer
12,Paul Butler is the Albert Brick Professor in Law at Georgetown University Law Center and a legal analyst on MSNBC.,Paul Butler
12,During the 2017-18 academic year he was the Bennett Boskey Visiting Professor at Harvard Law School.,Paul Butler
12,He holds an honorary Doctor of Law Degree from City University of New York.  ,Paul Butler
12,Professor Butler is one of the nation’s most frequently consulted scholars on issues of race and criminal justice.,Paul Butler
12,"His work has been profiled on 60 Minutes, Nightline, and The ABC, CBS and NBC Evening News.",Paul Butler
12,"He lectures regularly for the American Bar Association and the NAACP, and at colleges, law schools, and community organizations throughout the United States.",Paul Butler
12,He serves on the District of Columbia Code Revision Commission as an appointee of the D.C. City Council.  ,Paul Butler
12,"Professor Butler’s scholarship has been published in many leading scholarly journals, including the Georgetown Law Journal, Yale Law Journal, Harvard Law Review, Stanford Law Review and the UCLA Law Review.",Paul Butler
12,He was named the Professor of the Year award three times by the GW graduating class.,Paul Butler
12,He was elected to the American Law Institute in 2003.,Paul Butler
12,Professor Butler’s book “Let’s Get Free: A Hip-Hop Theory of Justice” received the Harry Chapin Media award.  ,Paul Butler
12,His book “Chokehold: Policing Black Men” was published in July 2017.,Paul Butler
12,The Washington Post named it one of the 50 best non-fiction books of 2017.,Paul Butler
12,Chokehold was also named one of the best books of the year by Kirkus Reviews and the Atlanta Journal Constitution.,Paul Butler
12,The New York Times described Chokehold as the best book on criminal justice reform since The New Jim Crow.,Paul Butler
12,It was a finalist for the 2018 NAACP Image Award for best non-fiction.  ,Paul Butler
12,"Professor Butler served as a federal prosecutor with the U.S. Department of Justice, where his specialty was public corruption.",Paul Butler
12,"His prosecutions included a United States Senator, three FBI agents, and several other law enforcement officials.  ",Paul Butler
12,Professor Butler is a graduate of Yale University and Harvard Law School.,Paul Butler
13,William W. Buzbee holds the inaugural Edward and Carole Walter Professor chair and is a Professor of Law at Georgetown University Law Center.  ,William W. Buzbee
13,He also serves as the Faculty Director of Georgetown Law’s Environmental Law & Policy Program.  ,William W. Buzbee
13,"In his teaching and scholarship, he specializes in environmental law, legislation and regulation, and administrative law.",William W. Buzbee
13,"Recent publications focus on climate regulation, deregulation and law governing agency policy change, and federalism.",William W. Buzbee
13,"He also offers seminars on advanced environmental, regulatory, and constitutional law subjects, with his most recent seminar focused on “The Art of Regulatory War.”",William W. Buzbee
13,"Professor Buzbee’s books include the recently published Fighting Westway: Environmental Law, Citizen Activism, and the Regulatory War that Transformed New York City (Cornell University Press 2014) and Preemption Choice: The Theory, Law and Reality of Federalism’s Core Question (Cambridge University Press, hardcover 2009, paperback 2011) (William W. Buzbee editor and contributor).",William W. Buzbee
13,"He has been a co-author of the 5th , 6th, 7th and 8th editions of Environmental Protection: Law and Policy (Aspen/Wolters Kluwer).",William W. Buzbee
13,"Law review scholarship includes publications in New York University Law Review, University of Pennsylvania Law Review, Michigan Law Review, Stanford Law Review (co-authored), Cornell Law Review (co-authored), Duke Law Journal, George Washington Law Review, Iowa Law Review, Wisconsin Law Review, The Journal of Law and Politics and in an array of other journals, books, news outlets, and blogs.",William W. Buzbee
13,Three of his articles have been named among the 10 best environmental or land use law articles of that year and republished in the Land Use and Environment Law Review.,William W. Buzbee
13,"He regularly assists with appellate and Supreme Court environmental, federalism, and regulatory litigation, and also has testified before congressional committees on environmental and regulatory matters.",William W. Buzbee
13,"He has published op-eds on regulatory and environmental issues with The New York Times, The Hill, CNN, and been quoted and interviewed by numerous press and media outlets.",William W. Buzbee
13,"Professor Buzbee joined Georgetown from Emory Law School, where he was a professor of law and directed its Environmental and Natural Resources Law Program.",William W. Buzbee
13,He also spearheaded the creation of Emory’s Turner Environmental Law Clinic and later served as the Advisory Board Chair.,William W. Buzbee
13,He also co-directed Emory’s Center on Federalism and Intersystemic Governance.,William W. Buzbee
13,"He has been a visiting professor of law at Columbia, Cornell and Illinois law schools.",William W. Buzbee
13,He has also served as a professor for the Leiden-Amsterdam-Columbia Law School Summer Program in American Law.,William W. Buzbee
13,"Professor Buzbee is a founding Member Scholar of the Center for Progressive Reform, a Washington D.C.-based regulatory think tank.",William W. Buzbee
13,Professor Buzbee was awarded the 2007-2008 Emory Williams Teaching Award for excellence in teaching.,William W. Buzbee
13,"Professor Buzbee clerked for United States Judge Jose A. Cabranes, and before becoming a professor was an attorney-fellow at the Natural Resources Defense Council, and did environmental, land use and litigation work for the New York City law firm, Patterson, Belknap, Webb & Tyler.",William W. Buzbee
13,"JD, Columbia Law School, 1986; BA, Amherst College, magna cum laude, 1983.",William W. Buzbee
14,Professor Byrne joined the Law Center faculty in 1985.,J. Peter Byrne
14,"After graduation from the University of Virginia law school, he served as a law clerk to Judge Frank Coffin and U.S. Supreme Court Justice Lewis Powell and then worked as an associate with the D.C. firm of Covington & Burling.",J. Peter Byrne
14,"He teaches and writes in the areas of Property, Land Use, Constitutional Law, and Higher Education Law and Policy.",J. Peter Byrne
14,He served as Associate Dean for the JD Program from 1997 to 2000.,J. Peter Byrne
14,He was John Carroll Research Professor in 1996-97.,J. Peter Byrne
15,Rachel Camp is a Co-Director of the Domestic Violence Clinic and a Professor from Practice at Georgetown University Law Center.,A. Rachel Camp
15,She joined Georgetown’s faculty in 2011 and became a co-director of the Domestic Violence Clinic (DVC) in 2013.,A. Rachel Camp
15,Professor Camp has devoted her career to advocating on behalf of vulnerable and marginalized populations.,A. Rachel Camp
15,"She has represented, and has supervised law students representing, hundreds of survivors of intimate partner violence in civil protection order and family law cases during her time at Georgetown and while a Clinical Teaching Fellow at the University of Baltimore School of Law.",A. Rachel Camp
15,"In addition to direct legal representation, Professor Camp has supervised law students on a variety of community education and systemic legal reform projects aimed at increasing access to justice for survivors.",A. Rachel Camp
15,Professor Camp’s co-authored article on integrating community legal education into clinical programs was published in the Clinical Law Review in 2012.,A. Rachel Camp
15,"Between 2000-2008, Professor Camp served as an Assistant Attorney General with the Oregon Department of Justice.",A. Rachel Camp
15,"While there, she served as counsel for a variety of state agencies, including the Department of Human Services in matters involving child abuse and neglect.",A. Rachel Camp
15,"Prior to her employment at the Oregon Department of Justice, Professor Camp was an attorney at the Maryland Disability Law Center representing patients at a maximum-security state psychiatric hospital in civil and administrative matters.",A. Rachel Camp
15,Professor Camp currently serves on the Board of Directors of the D.C. Affordable Law Firm and Girls on the Run of Central Maryland.,A. Rachel Camp
15,"In addition to other law review articles and publications, in Coercing Pregnancy, 21 WM.",A. Rachel Camp
15,"& MARY J. WOMEN & L. 275 (2015), Professor Camp examined the intersection between intimate partner violence (IPV), reproductive coercion, and pregnancy.",A. Rachel Camp
15,"In her most recent article, Pursuing Accountability for Perpetrators of Intimate Partner Violence: The Peril (an Utility?) of Shame, 98 BOSTON UNIV. L. REV. 1677 (2018), Professor Camp explores how formal and informal methods of shaming perpetrators of IPV lead to counterproductive outcomes for reducing violence in intimate relationships and increased risk of harm for survivors.",A. Rachel Camp
15,"In addition to her work in the DVC, Professor Camp directs the LL.",A. Rachel Camp
15,"M. program for the D.C. Affordable Law Firm, a program that allows recent law graduates to provide civil legal representation to D.C. residents who fall between 200-400% above the federal poverty rate and who otherwise may be unable to obtain legal representation.  ",A. Rachel Camp
16,"In 2016, Yael Cannon co-founded, with Professor Vicki Girard, the Georgetown University Health Justice Alliance, an academic Medical-Legal Partnership training the next generation of health, law, and policy leaders to work together in pursuit of health justice as they serve some of the most vulnerable members of our D.C. community.  ",Yael Zakai Cannon
16,"Professor Cannon serves as the Legal Director of this cross-campus collaborative and also serves as Director of the Health Justice Alliance’s Law Clinic, which brings together students and professionals in law and health to provide holistic civil legal advocacy to address the social determinants of health for patients living in poverty in Washington D.C.  ",Yael Zakai Cannon
16,"The law clinic embeds students in MedStar Georgetown Community Pediatrics health clinics at a homeless family shelter, a high school health center, and a pediatric mobile van, where patients are screened for unmet legal needs.  ",Yael Zakai Cannon
16,Law students partner with healthcare providers and students to advance their casework.  ,Yael Zakai Cannon
16,"Georgetown University medical students participate in a one month rotation within the law clinic, which provides intensive learning and advocacy collaboration opportunities across disciplines.  ",Yael Zakai Cannon
16,"Professor Cannon also works closely with cross-campus research partners to develop and implement assessment tools to evaluate the impact of the Health Justice Alliance’s service and academic initiatives on learners, patients, clients and health providers.  ",Yael Zakai Cannon
16,"In its first year, the Health Justice Alliance team was recognized by Georgetown University and the Fox 5 Morning News as “Campus Heroes” for its work serving families in need in Washington, D.C.  Professor Cannon previously taught clinical poverty law courses and doctrinal courses at the University of New Mexico School of Law, where she was an Associate Professor.  ",Yael Zakai Cannon
